! version = 0.11.1
! unit = m
! diameter = False

# Internal geometry of the Besson trumpet E0925 from the "Musée de la Musique - Philharmonie de Paris"
# obtained from tomography, performed by Elsa Lambert for C2RMF lab. 
# More information on this instrument is available here:
# https://inria.hal.science/hal-04352706

#        x	         r
   0.00000	   0.00952
   0.00003	   0.00950
   0.00007	   0.00948
   0.00010	   0.00945
   0.00013	   0.00943
   0.00017	   0.00940
   0.00020	   0.00938
   0.00024	   0.00937
   0.00027	   0.00937
   0.00030	   0.00934
   0.00034	   0.00933
   0.00037	   0.00932
   0.00040	   0.00930
   0.00044	   0.00928
   0.00047	   0.00927
   0.00051	   0.00926
   0.00054	   0.00924
   0.00057	   0.00924
   0.00061	   0.00923
   0.00064	   0.00923
   0.00067	   0.00922
   0.00071	   0.00921
   0.00074	   0.00920
   0.00078	   0.00919
   0.00081	   0.00917
   0.00084	   0.00916
   0.00088	   0.00914
   0.00091	   0.00913
   0.00094	   0.00913
   0.00098	   0.00912
   0.00101	   0.00910
   0.00104	   0.00908
   0.00108	   0.00907
   0.00111	   0.00906
   0.00115	   0.00904
   0.00118	   0.00903
   0.00121	   0.00902
   0.00125	   0.00900
   0.00128	   0.00899
   0.00131	   0.00898
   0.00135	   0.00897
   0.00138	   0.00894
   0.00142	   0.00893
   0.00145	   0.00892
   0.00148	   0.00891
   0.00152	   0.00890
   0.00155	   0.00889
   0.00158	   0.00888
   0.00162	   0.00887
   0.00165	   0.00883
   0.00169	   0.00882
   0.00172	   0.00879
   0.00175	   0.00878
   0.00179	   0.00877
   0.00182	   0.00875
   0.00185	   0.00875
   0.00189	   0.00874
   0.00192	   0.00873
   0.00195	   0.00870
   0.00199	   0.00869
   0.00202	   0.00868
   0.00206	   0.00865
   0.00209	   0.00863
   0.00212	   0.00861
   0.00216	   0.00859
   0.00219	   0.00858
   0.00222	   0.00857
   0.00226	   0.00857
   0.00229	   0.00856
   0.00233	   0.00853
   0.00236	   0.00852
   0.00239	   0.00850
   0.00243	   0.00847
   0.00246	   0.00845
   0.00249	   0.00844
   0.00253	   0.00843
   0.00256	   0.00842
   0.00260	   0.00841
   0.00263	   0.00839
   0.00266	   0.00838
   0.00270	   0.00837
   0.00273	   0.00835
   0.00276	   0.00834
   0.00280	   0.00831
   0.00283	   0.00831
   0.00286	   0.00829
   0.00290	   0.00825
   0.00293	   0.00823
   0.00297	   0.00822
   0.00300	   0.00820
   0.00303	   0.00819
   0.00307	   0.00816
   0.00310	   0.00815
   0.00313	   0.00813
   0.00317	   0.00810
   0.00320	   0.00806
   0.00324	   0.00806
   0.00327	   0.00805
   0.00330	   0.00804
   0.00334	   0.00802
   0.00337	   0.00800
   0.00340	   0.00799
   0.00344	   0.00796
   0.00347	   0.00795
   0.00351	   0.00792
   0.00354	   0.00790
   0.00357	   0.00787
   0.00361	   0.00784
   0.00364	   0.00783
   0.00367	   0.00783
   0.00371	   0.00782
   0.00374	   0.00779
   0.00377	   0.00778
   0.00381	   0.00776
   0.00384	   0.00773
   0.00388	   0.00769
   0.00391	   0.00765
   0.00394	   0.00762
   0.00398	   0.00762
   0.00401	   0.00760
   0.00404	   0.00756
   0.00408	   0.00750
   0.00411	   0.00748
   0.00415	   0.00748
   0.00418	   0.00745
   0.00421	   0.00744
   0.00425	   0.00741
   0.00428	   0.00739
   0.00431	   0.00736
   0.00435	   0.00734
   0.00438	   0.00732
   0.00442	   0.00730
   0.00445	   0.00728
   0.00448	   0.00724
   0.00452	   0.00722
   0.00455	   0.00721
   0.00458	   0.00717
   0.00462	   0.00714
   0.00465	   0.00711
   0.00468	   0.00708
   0.00472	   0.00705
   0.00475	   0.00702
   0.00479	   0.00699
   0.00482	   0.00696
   0.00485	   0.00694
   0.00489	   0.00692
   0.00492	   0.00690
   0.00495	   0.00686
   0.00499	   0.00683
   0.00502	   0.00679
   0.00506	   0.00678
   0.00509	   0.00674
   0.00512	   0.00671
   0.00516	   0.00669
   0.00519	   0.00666
   0.00522	   0.00661
   0.00526	   0.00656
   0.00529	   0.00651
   0.00533	   0.00647
   0.00536	   0.00644
   0.00539	   0.00643
   0.00543	   0.00637
   0.00546	   0.00635
   0.00549	   0.00631
